star,xslid,simbad,filename,ra,dec,teff,e_teff,logg,e_logg,feh,e_feh,comment
HD 215578,X0789,HD 215578,xsl_spectrum_X0789_merged.fits,341.493375,19.25025,5006.0,43.0,2.9700000286102295,0.14000000059604645,0.1599999964237213,0.05999999865889549,
HD 216143,X0444,HD 216143,xsl_spectrum_X0444_merged.fits,342.6295417,-6.91375,4661.0,48.0,1.399999976158142,0.15000000596046448,-2.0399999618530273,0.07000000029802322,
HD 216219,X0216,HD 216219,xsl_spectrum_X0216_merged.fits,342.7172917,18.0021389,5614.0,58.0,2.869999885559082,0.14000000059604645,-0.4300000071525574,0.07000000029802322,
HD 216219,X0278,HD 216219,xsl_spectrum_X0278_merged.fits,342.7172917,18.0021389,5614.0,58.0,2.869999885559082,0.14000000059604645,-0.4300000071525574,0.07000000029802322,
HD 217357,X0413,HD 217357,xsl_spectrum_X0413_merged.fits,345.0671667,-22.5243333,3958.0,52.0,4.599999904632568,0.14000000059604645,-0.07999999821186066,0.07000000029802322,
HD 217877,X0217,HD 217877,xsl_spectrum_X0217_merged.fits,345.988625,-4.7948611,5877.0,92.0,4.150000095367432,0.14000000059604645,-0.18000000715255737,0.05999999865889549,
HD 217877,X0279,HD 217877,xsl_spectrum_X0279_merged.fits,345.988625,-4.7948611,5877.0,92.0,4.150000095367432,0.14000000059604645,-0.18000000715255737,0.05999999865889549,
HD 218502,X0414,HD 218502,xsl_spectrum_X0414_merged.fits,347.1640417,-15.0533056,6174.0,139.0,4.079999923706055,0.14000000059604645,-1.75,0.09000000357627869,
HD 218566,X0739,HD 218566,xsl_spectrum_X0739_merged.fits,347.2947083,-2.2607222,4746.0,49.0,4.460000038146973,0.14000000059604645,0.15000000596046448,0.05000000074505806,
HD 218566,X0751,HD 218566,xsl_spectrum_X0751_merged.fits,347.2947083,-2.2607222,4746.0,49.0,4.460000038146973,0.14000000059604645,0.15000000596046448,0.05000000074505806,
HD 218857,X0415,HD 218857,xsl_spectrum_X0415_merged.fits,347.8524583,-16.2511111,5107.0,63.0,2.5799999237060547,0.14000000059604645,-1.899999976158142,0.07999999821186066,
G029-023,X0223,G029-023,xsl_spectrum_X0223_merged.fits,349.9185417,3.3712778,6132.0,138.0,4.079999923706055,0.14000000059604645,-1.690000057220459,0.09000000357627869,
Feige 110,X0758,Feige 110,xsl_spectrum_X0758_merged_ncl_ncge.fits,349.9933333,-5.1655833,nan,nan,nan,nan,nan,nan,"S/N ratio poor in NIR, use average"
Feige 110,X0766,Feige 110,xsl_spectrum_X0766_merged_ncl_ncge.fits,349.9933333,-5.1655833,nan,nan,nan,nan,nan,nan,"S/N ratio poor in NIR, use average"
Feige 110,X0790,Feige 110,xsl_spectrum_X0790_merged_ncl_ncge.fits,349.9933333,-5.1655833,nan,nan,nan,nan,nan,nan,"S/N ratio poor in NIR, use average"
HD 220662,X0416,HD 220662,xsl_spectrum_X0416_merged.fits,351.4234583,-23.9390556,4607.0,46.0,1.2899999618530273,0.14000000059604645,-1.809999942779541,0.07000000029802322,
HD 220838,X0417,HD 220838,xsl_spectrum_X0417_merged.fits,351.8186667,-26.9828056,4445.0,44.0,1.0299999713897705,0.14000000059604645,-1.75,0.07000000029802322,
HD 221170,X0442,HD 221170,xsl_spectrum_X0442_merged.fits,352.3700417,30.4327222,4597.0,49.0,1.2699999809265137,0.15000000596046448,-2.0399999618530273,0.07000000029802322,
HD 221149,X0749,HD 221149,xsl_spectrum_X0749_merged.fits,352.4014167,-6.83575,5867.0,92.0,3.9100000858306885,0.14000000059604645,0.15000000596046448,0.05999999865889549,
BD+19 5116B,X0440,BD+19 5116B,xsl_spectrum_X0440_merged.fits,352.9690417,19.9372222,2900.0,46.0,4.909999847412109,0.14000000059604645,-0.11999999731779099,0.07000000029802322,
HD 222434,X0752,HD 222434,xsl_spectrum_X0752_merged.fits,355.1729583,-34.69625,4504.0,44.0,1.1200000047683716,0.14000000059604645,-1.809999942779541,0.07000000029802322,
LP 731-58,MD001,LP 731-58,xsl_spectrum_MD001_merged_ncl_ncge.fits,162.05475,-11.3403889,nan,nan,nan,nan,nan,nan,
LTT 2544,MD002,LTT 2544,xsl_spectrum_MD002_merged_scl.fits,96.017625,-45.9372222,nan,nan,nan,nan,nan,nan,
HD 50281B,MD003,HD 50281B,xsl_spectrum_MD003_merged_scl.fits,103.0740417,-5.1898056,nan,nan,nan,nan,nan,nan,
* 18 Pup B,MD004,* 18 Pup B,xsl_spectrum_MD004_merged_scl.fits,122.6429583,-13.8142222,nan,nan,nan,nan,nan,nan,
L 442-13,MD005,L 442-13,xsl_spectrum_MD005_merged_scl.fits,43.5127083,-35.9152222,nan,nan,nan,nan,nan,nan,
G 272-119,MD006,G 272-119,xsl_spectrum_MD006_merged_scl.fits,28.5890833,-15.7306944,nan,nan,nan,nan,nan,nan,
* omi02 Eri C,MD007,* omi02 Eri C,xsl_spectrum_MD007_merged_scl.fits,63.8329167,-7.6670278,nan,nan,nan,nan,nan,nan,
G 83-29,MD008,G 83-29,xsl_spectrum_MD008_merged_scl.fits,69.9302917,9.8623056,nan,nan,nan,nan,nan,nan,
HD 31412B,MD009,HD 31412B,xsl_spectrum_MD009_merged_scl.fits,73.9771667,4.6711389,nan,nan,nan,nan,nan,nan,Bad telluric correction
LP 659-4,MD010,LP 659-4,xsl_spectrum_MD010_merged_scl.fits,89.57375,-4.6338333,nan,nan,nan,nan,nan,nan,
G 102-4,MD011,G 102-4,xsl_spectrum_MD011_merged_scl.fits,82.2359583,12.5313611,nan,nan,nan,nan,nan,nan,
HD 38529B,MD012,HD 38529B,xsl_spectrum_MD012_merged_scl.fits,86.5800833,1.2135833,nan,nan,nan,nan,nan,nan,
G 106-36,MD013,G 106-36,xsl_spectrum_MD013_merged_scl.fits,94.2939167,5.1186944,nan,nan,nan,nan,nan,nan,
HD 46375B,MD014,HD 46375B,xsl_spectrum_MD014_merged_scl.fits,98.3010833,5.4651667,nan,nan,nan,nan,nan,nan,
GJ 768.1 B,MD017,GJ 768.1 B,xsl_spectrum_MD017_merged_scl.fits,297.7545833,10.4102222,nan,nan,nan,nan,nan,nan,
G 143-35,MD018,G 143-35,xsl_spectrum_MD018_merged_scl.fits,302.8039167,16.1864167,nan,nan,nan,nan,nan,nan,
LP 703-44,MD020,LP 703-44,xsl_spectrum_MD020_merged_scl.fits,355.4380417,-5.9713056,nan,nan,nan,nan,nan,nan,
V* V645 Cen,MD021,V* V645 Cen,xsl_spectrum_MD021_merged_scl.fits,217.3985833,-62.6761111,nan,nan,nan,nan,nan,nan,
HD 125455B,MD022,HD 125455B,xsl_spectrum_MD022_merged_scl.fits,214.8967083,-5.1520556,nan,nan,nan,nan,nan,nan,
HD 115404B,MD023,HD 115404B,xsl_spectrum_MD023_merged_ncl_ncge.fits,199.217625,17.0165278,nan,nan,nan,nan,nan,nan,
