name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,a_fe,vsini,e_vsini,v,eso_starid,spec_url
HD082668,3974.07,1.18194,-0.0268598,0.294396,-0.874931,0.014008,0.563759,12.058,0.183454,-14.0003,82668,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD082668.fits.gz
HD083240,4990.81,3.31118,2.72753,0.0150819,-0.117822,0.00541907,0.236142,6.22495,0.240877,20.1361,83240,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD083240.fits.gz
HD083312,,,,,,,,,,,83312,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD083312.fits.gz
HD083368,7873.74,7.21887,4.47409,0.0180318,0.40361,0.00849272,-0.103178,36.7662,0.269275,2.005,83368,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD083368.fits.gz
HD084461,10115.9,5.96521,4.35025,0.00348062,0.833478,0.00409302,-0.27698,42.674,0.211043,4.84631,84461,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD084461.fits.gz
HD084937,6390.27,1.67945,3.57954,0.00664838,-2.07384,0.00472187,0.305159,8.7129,0.174488,-14.3067,84937,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD084937.fits.gz
HD085552,5460.0,5.02674,2.1,0.00844799,-0.8,0.0146351,0.36,13.8986,0.1318,9.86953,85552,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD085552.fits.gz
HD088366,3282.4,1.34478,0.242854,0.00454835,-1.33188,0.00290887,0.0364421,22.6603,0.295605,284.207,88366,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD088366.fits.gz
HD089587,18725.2,16.2559,3.97611,0.00198281,-0.452435,0.00293849,0.0,0.909204,1.99941,3.96083,89587,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD089587.fits.gz
HD089736,3915.57,0.721301,-0.366925,0.00894556,-0.852816,0.004646,0.462301,9.53419,0.153754,20.6997,89736,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD089736.fits.gz
HD090132,7414.74,2.02076,3.95015,0.00526835,-0.0492765,0.00370039,0.154528,215.098,0.515199,7.16741,90132,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD090132.fits.gz
