star,grating,family,sampling,beta,box,cont_rms,core_mean,core_peak,core_rms,extra_fwhm,frac2,fwhm,fwhm1,fwhm2,kernel_fwhm_A,n_core,n_par,n_pix,rms,shift_A,wing_10A,wing_20A,wing_4px
HD106304,G430L,gauss,interp,,,0.80934,0.1994,-22.87328,4.75246,,,6.3845,,,6.3846,39,1,674,1.38709,0.211,0.00023,0.0,5e-05
HD106304,G430L,moffat,interp,1.694,,0.7188,-0.56801,-25.33875,4.33616,,,4.1779,,,4.1781,39,2,674,1.25489,0.2066,0.023,0.00451,0.01862
HD106304,G430L,gauss2,interp,,,0.70731,-0.36096,-24.55388,4.27786,,0.0566,,5.4648,43.0186,5.4942,39,3,674,1.23703,0.2085,0.03306,0.01548,0.031
HD106304,G430L,gauss_tophat,interp,,0.1549,0.80933,0.19993,-22.8735,4.75249,,,6.3835,,,6.3845,39,2,674,1.38709,0.2109,0.00023,0.0,5e-05
HD106304,G750L,stis,rebin,,,1.07203,4.13045,5.21182,4.26966,,,,,,8.0898,2,0,477,1.10493,-0.397,0.02536,0.0,0.0
HD106304,G750L,stis_gauss,rebin,,,0.96529,-0.85143,-1.56437,1.1105,9.3204,,,,,13.1904,2,1,477,0.96594,-0.4011,0.08615,0.00062,0.00084
HD106304,G750L,stis_tophat,rebin,,12.9136,0.97227,-0.68582,-1.54964,1.10297,,,,,,14.1867,2,1,477,0.97286,-0.3991,0.07459,5e-05,0.0001
HD106304,G750L,stis05,rebin,,,0.95829,1.03015,1.61483,1.18451,,,,,,8.0945,2,0,477,0.95935,-0.4195,0.09263,0.01274,0.01404
HD106304,G750L,stis2,rebin,,,0.93968,-1.50187,-1.8488,1.54142,,,,,,8.0945,2,0,477,0.943,-0.432,0.13861,0.06272,0.06398
HD106304,G750L,stis2_gauss,rebin,,,0.93968,-1.50191,-1.84874,1.54144,0.0541,,,,,8.0953,2,1,477,0.943,-0.432,0.13861,0.06272,0.06398
HD106304,G750L,stis2_tophat,rebin,,0.1491,0.93968,-1.50208,-1.84866,1.54155,,,,,,8.0979,2,1,477,0.943,-0.432,0.13861,0.06271,0.06397
HD106304,G750L,gauss,rebin,,,0.96736,-0.90946,-1.6914,1.1994,,,13.6172,,,13.6174,2,1,477,0.96845,-0.3602,0.08376,0.00054,0.00073
HD106304,G750L,moffat,rebin,1.5058,,0.93211,-0.75319,-0.92748,0.77309,,,8.513,,,8.513,2,2,477,0.9315,-0.3643,0.12292,0.03374,0.03542
HD106304,G750L,gauss2,rebin,,,0.93138,-0.73138,-0.85914,0.74245,,0.1785,,9.917,38.7547,10.2798,2,3,477,0.93067,-0.3612,0.11144,0.04004,0.04204
HD106304,G750L,gauss_tophat,rebin,,0.0593,0.96736,-0.9096,-1.69205,1.19984,,,13.6175,,,13.6177,2,2,477,0.96845,-0.3598,0.08377,0.00054,0.00073
HD106304,G750L,stis,interp,,,1.10338,5.01355,6.67109,5.28045,,,,,,8.0898,2,0,477,1.15293,-0.3855,0.02536,0.0,0.0
HD106304,G750L,stis_gauss,interp,,,0.96522,-0.84955,-1.56108,1.10815,9.8961,,,,,13.6454,2,1,477,0.96586,-0.4006,0.09491,0.0009,0.0012
HD106304,G750L,stis_tophat,interp,,13.6342,0.97452,-0.6665,-1.60827,1.15376,,,,,,14.7522,2,1,477,0.97534,-0.398,0.081,8e-05,0.00015
HD106304,G750L,stis05,interp,,,0.97127,1.7573,2.85111,2.06991,,,,,,8.0945,2,0,477,0.97846,-0.4135,0.09263,0.01274,0.01404
HD106304,G750L,stis2,interp,,,0.94255,-0.85255,-1.66482,1.17755,,,,,,8.0945,2,0,477,0.94366,-0.429,0.13861,0.06272,0.06398
HD106304,G750L,stis2_gauss,interp,,,0.94038,-1.2281,-1.76826,1.34164,2.5368,,,,,8.6411,2,1,477,0.94242,-0.4316,0.14119,0.06262,0.06391
HD106304,G750L,stis2_tophat,interp,,3.761,0.94033,-1.23627,-1.7636,1.34404,,,,,,8.6778,2,1,477,0.94238,-0.4318,0.14122,0.0626,0.06389
HD106304,G750L,gauss,interp,,,0.96729,-0.90694,-1.6885,1.19723,,,14.017,,,14.0172,2,1,477,0.96837,-0.3594,0.09297,0.00078,0.00104
HD106304,G750L,moffat,interp,1.6034,,0.93223,-0.74573,-1.00134,0.78832,,,9.2713,,,9.2714,2,2,477,0.93167,-0.3631,0.12915,0.03305,0.03481
HD106304,G750L,gauss2,interp,,,0.93137,-0.73059,-0.85557,0.7412,,0.178,,10.4708,38.9354,10.8677,2,3,477,0.93066,-0.3609,0.11722,0.04031,0.04231
HD106304,G750L,gauss_tophat,interp,,0.1551,0.96729,-0.9076,-1.68939,1.19789,,,14.0172,,,14.0178,2,2,477,0.96837,-0.3593,0.09298,0.00078,0.00104
