star,xslid,n_epochs,teff,e_teff,logg,e_logg,feh,e_feh,ra,dec,sp_type,otype,dist_pc,ebv_sfd98,ebv_sf11,binary,peculiar,filename,spec_url,comment
HD 105262,X0599,1,8225,151,1.4,0.21,-1.94,0.1,181.79513,12.98544,B9,pA*,1674.5,0.0298,0.0256,no,no,xsl_spectrum_X0599_merged_ncge.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0599_merged_ncge.fits.fits,
HD 201377,X0433,1,8208,163,3.85,0.21,0.03,0.07,317.31671,-0.23492,A3III/IV,PM*,100.1,0.1212,0.1042,no,no,xsl_spectrum_X0433_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0433_merged.fits.fits,
HD 195729,X0695,1,8143,161,3.6,0.21,0.08,0.07,308.23704,2.42747,A5IV,*,187.8,0.1287,0.1107,no,no,xsl_spectrum_X0695_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0695_merged.fits.fits,
HD 23924,X0794,1,8079,160,3.91,0.21,0.31,0.07,57.4205,23.34156,A5VkA7mA7,*,136.7,0.1486,0.1278,no,yes,xsl_spectrum_X0794_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0794_merged.fits.fits,
HD 140232,X0633,1,8077,160,3.93,0.21,0.42,0.07,235.478,18.46403,A8Vam,**,53.4,0.0395,0.034,yes,no,xsl_spectrum_X0633_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0633_merged.fits.fits,
HD 171234,X0648,1,8070,160,3.95,0.21,0.06,0.07,278.38225,1.90356,A5IV,dS*,162.0,1.4768,1.27,no,no,xsl_spectrum_X0648_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0648_merged.fits.fits,
HD 190073,X0214,2,8065,151,2.85,0.22,-1.81,0.11,300.76046,5.73794,A2IVe,Ae*,847.9,0.1184,0.1018,no,no,xsl_spectrum_X0214_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0214_merged.fits.fits,"Herbig Ae/Be star, numerous emission lines, continuum contribution from cool component in the NIR arm; K-band continuum wavy (prefer X0248)"
HD 173369,X0472,1,8052,160,3.46,0.21,0.36,0.07,281.15575,7.97761,A2,*,168.9,1.1659,1.0027,no,no,xsl_spectrum_X0472_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0472_merged.fits.fits,
HD 38237,X0285,1,8042,160,3.81,0.21,0.03,0.07,86.12746,4.33917,A5IV,*,122.2,0.3894,0.3349,no,no,xsl_spectrum_X0285_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0285_merged.fits.fits,
CD-24 15398,X0421,1,8000,148,2.84,0.21,-1.32,0.1,293.08658,-23.85353,F0,RR*,727.9,0.0969,0.0833,no,no,xsl_spectrum_X0421_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0421_merged.fits.fits,
HD 174866,X0645,1,7971,158,3.93,0.21,0.04,0.07,283.25754,-9.5755,A4V,**,92.1,0.3964,0.3409,yes,no,xsl_spectrum_X0645_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0645_merged.fits.fits,
HD 205734,X0727,3,7947,158,3.68,0.21,-0.02,0.07,324.30871,5.85139,F0,*,255.0,0.0504,0.0434,no,no,xsl_spectrum_X0727_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0727_merged.fits.fits,
HD 43021,X0535,1,7935,157,4.2,0.21,-0.71,0.09,93.54342,2.57461,A2III,*,167.4,0.5274,0.4536,no,no,xsl_spectrum_X0535_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0535_merged.fits.fits,
