name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,a_fe,vsini,e_vsini,v,eso_starid,spec_url
HD162144,9084.81,9.72094,3.64704,0.00338649,-0.421455,0.00498571,0.479963,159.003,0.829976,-8.58361,162144,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162144.fits.gz
HD162680,9062.21,3.14172,3.95587,0.00297377,0.254191,0.00501653,-0.195855,99.3572,0.434576,-8.84633,162680,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162680.fits.gz
Castor,9030.92,3.54068,3.93854,0.00395132,0.192115,0.00448403,-0.218286,18.4287,0.148907,-11.2251,Castor,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Castor.fits.gz
HD162187,8979.63,8.52009,4.17734,0.00537532,0.33182,0.00567158,-0.0303022,183.62,0.83374,-14.9081,162187,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162187.fits.gz
HD141003,8929.79,6.19608,3.45223,0.0029369,-0.0270088,0.00795008,-0.0277197,201.192,0.620056,-1.96478,141003,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD141003.fits.gz
HD048915,8829.42,3.42347,4.08315,0.00611971,0.0454379,0.0118001,-0.171886,14.4093,0.22994,-5.40629,48915,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD048915.fits.gz
HD162631,8818.5,4.55807,3.45463,0.00205749,-0.641191,0.0053687,-0.043439,152.543,0.535864,-12.2543,162631,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162631.fits.gz
HD320764,8773.5,2.4029,4.07996,0.00646107,0.0352395,0.00881609,-0.156472,222.732,0.757103,-17.7155,320764,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD320764.fits.gz
IC2391-0041,8766.79,3.25816,4.0464,0.00287868,-0.112251,0.0122149,-0.244223,168.612,0.685757,11.4279,IC2391_41,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0041.fits.gz
HD126515,8710.3,12.6093,3.41946,0.0125786,0.96746,0.0180961,-0.0490034,13.4473,0.351724,15.6088,126515,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD126515.fits.gz
HD118022,8691.09,10.634,3.06515,0.0127607,0.977265,0.0189987,-0.37154,4.28683,0.645986,-7.77459,118022,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD118022.fits.gz
IC2391-0042,8681.64,2.77734,3.92059,0.00195672,-0.693475,0.00496873,-0.156722,153.131,0.507799,23.6014,IC2391_42,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0042.fits.gz
HD162719,8245.39,4.01967,3.92688,0.00749314,-0.532789,0.0124444,0.551849,186.926,0.737691,14.5642,162719,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162719.fits.gz
HD145689,8214.0,6.28517,4.23778,0.00689096,0.1168,0.00622484,-0.178859,96.7888,0.413106,-4.93373,145689,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD145689.fits.gz
HD148898,8197.37,12.7022,3.73301,0.0109961,0.187091,0.00821528,0.274369,31.2494,0.256227,4.4411,148898,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD148898.fits.gz
IC2391-0049,8161.83,9.99391,4.09034,0.00643732,-0.0623937,0.00601397,0.263131,115.651,0.493824,33.4169,IC2391_49,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0049.fits.gz
HD039060,8101.76,7.1105,4.09674,0.00623652,-0.0174186,0.00442068,0.11897,111.25,0.380179,20.3861,39060,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD039060.fits.gz
HD065810,8077.03,4.26454,3.15615,0.00296551,-0.329035,0.0335701,0.0321944,228.759,0.607084,-9.05173,65810,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD065810.fits.gz
